CODE,NAME
S50138,"PT INTEGRITAS DINAMIKA INDONESIA (ANKER/SOUNDCORE)"
S50139,"PT METEOR APAC INDONESIA"
S50140,"NADYA STEFANI BUDIANTO"
S50141,"FOCUS PUBLIHSING LIMITED"
S50142,"PT GRAMEDIA ASRI MEDIA (BOOKS JAKARTA) - NON PKP"
S50143,"PT KHARISMA SENTRA MANDIRI"
S50144,"PT GRAMEDIA ASRI MEDIA - NON PKP"
S50145,"PIA EIJI"
S50146,"PT DOS NI ROHA"
S50147,"PT PIBALI GEMILANG LESTARI (PIE SUSU ENAK)"
S50148,"PT CAHAYA INTI PUTRA SEJAHTERA"
S50149,"PIA LEGONG"
S50150,"PT PINUS MERAH ABADI (MR.P BALI)"
S50151,"PT PINUS MERAH ABADI (JAKARTA)"
S50152,"BALI-BALI NUT"
S50153,"PT EMWAY GLOBALINDO (CONSIGMENT)"
S50154,"SEGAR DEWATA BALI"
S50155,"PERUSAHAAN KUE LANNY (PIA ULUWATU)"
S50156,"KRUPUK REJEKI"
S50157,"KRUPUK BABI BALI ASLI"
S50158,"PT MAHAPALA MAHARDHIKA (DESTINASIAN)"
S50159,"PT HITAWASANA LUHUR (PRESTIGE)"
S50160,"PT DAMA MAHARDHIKA (DAMAN)"
S50161,"PT DUA PULUH TIGA (BODYPACK & EXSPORT)"
S50162,"CV POETRA GEMILANG LESTARI (PIE SUSU ASLI ENAK)"
S50163,"PT ERATEL PRIMA"
S50164,"CV SAMUDRA TOYS INDONESIA (PKP)"
S50165,"PT MANDIRI TRI MAKMUR (MAYORA BALI)"
S50166,"CV JARI PERKASA (NESTLE BALI)"
S50167,"PT SURYA SINAR BERLIAN (SIDOMUNCUL)"
S50169,"BALI LARIS"
S50170,"UD RAHAYU"
S50171,"TOKO BUAH ANGGA"
S50172,"PT TRIPUTRA MEGAH PERKASA"
S50173,"PT ANUGRAH NIAGATAMA PERKASA (SONY)"
S50174,"PT TIRTA BUANA INDORAYA"
S50175,"PT UNIRAMA DUTA NIAGA (CERES NL)"
S50176,"KOPERASI BERLIAN EMAS SUKSES TERUS (BALI HAI)"
S50177,"KOPERASI BERLIAN EMAS SEJAHTERA TERUS (BALI HAI JAKARTA)"
S50178,"PT BINTANG BALI INDAH (NUU TEA)"
S50179,"SHOPEE ONLINE SHOPPING"
S50180,"PT DELTA SATRIA DEWATA (SOFTEX)"
S50181,"PT DWINIAGA PRATAMA SARANA (CHIMORY)"
S50182,"PT GALAXY ION TECHNOLOGY"
S50183,"PIA AGUNG"
S50184,"PT MANDALA KRIYA SEMESTA"
S50185,"PT BLOOM AND GROW INDONESIA"
S50186,"PT ASTRINDO STARVISION (U-GREEN)"
S50187,"PT SARIJAYA SUKSES MANDIRI"
S50188,"HARPER COLLINS PUBLISHER LIMITED (USBORNE)"
S50189,"PT KARTIKA INTI SEJATI"
S50191,"PT KANMO MULTI GEMILANG"
S50192,"PT ARIZONA KARYA MITRA"
S50194,"PT VICTORIA CARE INDONESIA TBK (JAKARTA)"
S50195,"CV PAJAJARAN JAYA FOOD"
S50196,"PT RUKUN MITRA SEJATI (PERFETTI)"
S50197,"TOKO BHINEKA JAYA"
S50198,"CHRISTINE NATALIA RETAIL"
S50200,"PIA KEPENG"
S50201,"UD RAJAWALI BOGA SEJAHTERA"
S50202,"CV KARYA RASA INDONESIA"
S50203,"PT TOYOSINDO"
S50204,"BALITUTU OLEH-OLEH KHAS BALI"
S50205,"YULI SUPPLIER (KRISHNA)"
S50206,"PIE SUSU REGINA"
S50207,"PT KARYA PRATAMA GEMILANG (OISHI)"
S50208,"PT MONDIAL DINAMIKA RAHARJA"
S50209,"PT DISTRIBUSINDO KARUNIA SEJATI"
S50210,"PT TANTRI DELTA UTAMA (KALBE)"
S50211,"CV JARI PERKASA"
S50212,"PT DEUS EXMACHINA INDONESIA (NON ACTIVE)"
S50213,"PT INDOWINE"
S50214,"PT MULTI STAR RUKUN ABADI"
S50215,"PT SUMBER TIRTA SENTOSA"
S50216,"PT KARYA PAK OLES TOKCER"
S50218,"PT INDAH PERMAI"
S50219,"CV POETRA GEMILANG LESTARI (PIE SUSU ASLI ENAK) NON PKP"
S50220,"KERUPUK RAKYAT (REZEKI)"
S50221,"CV CAHAYA BOGA UTAMA"
S50222,"APD SINGAPORE PTE LTD (GBP)"
S50223,"PT CATUR SENTOSA ANUGERAH"
S50224,"PT TIGARAKSA SATRIA TBK (BINTANG BEER JAKARTA)"
S50225,"PT PANGAN KREASI MAKMUR"
S50226,"PT KRISMA ABADI PERKASA"
S50227,"PT HIGINA ALHADIN (COSMOPOLITAN)"
S50228,"PT EKA ARTHA BUANA (ELLIPS)"
S50229,"TRIANA DECO N COLLECTION"
S50230,"PT DEUS EXMACHINA INDONESIA (WHOLESALE)"
S50231,"YOVELEEN MARGHANITA (IWAK GALO)"
S50232,"JUST IN JAKARTA"
S50233,"PT PUTERA ADIPRIMA PRATAMA"
S50234,"CV MITRA PEMENANG"
S50235,"PT KARYADIBYA MAHARDHIKA"
S50236,"PT SIWA CITRA UTAMA (KAO)"
S50237,"PT DELTA SATRIA DEWATA (GARNIER/LOREAL)"
S50238,"AR BALI (ACCESSORIES BALI)"
S50239,"PT GONUSA PRIMA DISTRIBUSI BALI"
S50240,"CV UNAGI HANDICRAFT BALI (DEWANGGA)"
S50241,"PT ASIA TEKNOLOGI INTEGRITAS (BASEUS)"
S50242,"TIGERSNUS - PT FARIS JAYA MAKMUR"
S50243,"CV MANTU SEDANA (SAMBAL MANTU)"
S50244,"CV HARTA SURYA DEWATA (KRUPUK BABI REJEKI)"
S50245,"PANDURASA KHARISMA (JAKARTA)"
S50246,"PT AGUNG BUMI AGRO - LADANG LIMA COOKIES"
S50247,"PT BALI KOKOA INTERNASIONAL (non active)"
S50248,"PT INDAH WINA PRODUCTIONS"
S50249,"UD DELTA PLAZA"
S50250,"PT INTI MEGAH SWARA (JBL GROUP)"
S50251,"PT TIRTHA DEWATA MAHA AGUNG (BALI CATERING COMPANY)"
S50254,"BUJIDET"
S50255,"CV PUSAKA BALI PERSADA (BANYUATIS)"
S50256,"CV PANGAN MITRA BALI (KANZLER)"
S50257,"TREASURES COFFEE"
S50258,"CV BIRU LAUT ABADI (PIA AGUNG)"
S50259,"PT SAYAP MAS UTAMA"
S50260,"PT MAKKO JAYA INDONESIA"
S50261,"BALI HONEY"
S50262,"PT ARJUNA YOGA SAKTI (SUDAMALA)"
S50263,"PT ALAMII NATURA SEJAHTERA"
S50264,"PT GLOBAL UTAMA SENTOSA (NAVY CLUB)"
S50265,"CV PARAMA JAYA NIAGA (BALONKU) CONSIGNMENT"
S50266,"CV INDOKOPI MAKMUR SENTOSA (WOCA)"
S50267,"PT NATAN SUMBER REJEKI"
S50268,"PT SABANG MERAUKE TRADING"
S50269,"PT TAS CENTRE CEMERLANG"
S50270,"PT BANYU BALI PERSADA (ISLAND BREWING)"
